0,Blue Market603
1,Best of Harvests522
2,Bitternut911
3,American Blues442
4,Blue Diamond554
5,Chapeau Chic458
6,Budding Business468
7,Billowy Love802
8,Carmine703
9,Best Discount286
10,Budget Beauty630
11,Berries Galore306
12,Charm Farm506
13,Chef Naturelle795
14,Choose And Track418
15,BestBuy258
16,Blacklight Clothing899
17,Body Canvas397
18,Bella Bella Boutique810
19,Blackbird Boutique657
20,Budget Beauty826
21,Actioner Sports Store430
22,Best Indulgence863
23,Beautiful Charm955
24,Cafe Corner Shots587
25,Addiction Like512
26,Beef Quest834
27,Adaline’s Wardrobe488
28,Bountiful Berries390
29,American Blues800
30,Blackbird Boutique562
31,Carbonated Corner854
32,Bluebill Open mall306
33,Addiction Like307
34,Careful Dishing566
35,Chaperon651
36,Baskets Of Berries176
37,Cafe Linger134
38,Bursting With Fruit762
39,Bountiful Berries129
40,Bayside Cavern669
41,Boomers Apparel443
42,Charming Charlotte374
43,Chef Naturelle336
44,Burgundy Boutique663
45,Choose And Track397
46,African Paradise823
47,Cafe Corner Shots482
48,Bruno’s Groceries987
49,Cheat on Wheels936
50,Bean Box178
51,Boomers Apparel459
52,Best Mart363
53,BestBuy601
54,Bursting Baskets549
55,Bikini Beans483
56,All My Grace556
57,Bluebill Open mall921
58,Blush Boutique742
59,Boomers Apparel783
60,Bluebill Open mall682
61,Bruno’s Groceries548
62,Carmine795
63,Bitternut230
64,Bunny Shop416
65,Black Eye Coffee511
66,All Things More394
67,Best Indulgence866
68,Bella Bella Boutique759
69,Boomers Apparel722
70,Around The Clock Shop660
71,Apple Blossoms811
72,Addiction Like245
73,Bookstore308
74,American Blues311
75,American Eagle Shop560
76,Carbonated Corner965
77,Bayside Cavern941
78,Berries And Bushes729
79,All Things More509
80,Best of Harvests494
81,Big Mall323
82,Body Canvas460
83,Bitternut318
84,Bend the Trend944
85,Burly Giggles535
86,Big Mart880
87,Cafe Corner Shots979
88,Calm Charm931
89,Berries Galore818
90,Berry Farm377
91,Brandy Melville976
92,Best Indulgence180
93,Choose And Track169
94,Bend the Trend586
95,Ambrosia Store936
96,Burgundy Boutique188
97,American Eagle Shop745
98,Cafe Linger417
99,Billowy Love221
100,Changing Seasons937
101,Bumble Bee Boutique318
102,African Paradise180
103,Blue Diamond101
104,Bunny Shop674
105,Charm Farm280
106,Cavern Cooks957
107,Bestir Service853
108,Berry Land742
109,Bitternut551
110,Blackbird Boutique447
111,Budget Beauty252
112,Chef Naturelle144
113,Big Mart920
114,Blue Diamond126
115,Business Bustle430
116,Blackbird Boutique851
117,Cheereal144
118,Burton262
119,All Things More201
120,Charlie’s Retail948
121,Big Mall749
122,Blue Shelves815
123,Budget Beauty523
124,Bursting With Fruit259
125,Bursting With Fruit861
126,Alike Desire960
127,Butter Buds661
128,Boutique de Paris931
129,Body Canvas361
130,Boutique de Paris892
131,Best Indulgence250
132,Blacklight Clothing128
133,Anytime Buys802
134,Cavern Cooks716
135,Careful Dishing233
136,All My Grace838
137,Blessed Fruits547
138,Apple Blossoms802
139,Ambrosia Store640
140,Butter Buds122
141,Chaperon388
142,Better Buys725
143,Blacklight Clothing945
144,Changing Seasons839
145,Billowy Love525
146,Berry Farm328
147,By the Handful762
148,Billowy Love159
149,Calm Glitter410
150,Bella Bella Boutique421
151,Bumble Bee Boutique377
152,Bluebill Open mall463
153,Cafe Corner Shots669
154,American Eagle Shop277
155,Chef Naturelle688
156,Berry Farm797
157,Blacklight Clothing689
158,Blue Mall409
159,Bursting With Fruit515
160,Cafe Corner Shots484
161,American Blues736
162,Cheereal555
163,Apple Grand Central421
164,Cavern Cooks681
165,Changing Seasons657
166,Bien Habillé932
167,Business Bustle751
168,Blacklight Clothing200
169,Boomers Apparel818
170,Chef Naturelle386
171,Budget Beauty408
172,Bloomingdale’s358
173,Celestial Citrus Farms850
174,Chic Château420
175,Addiction Like172
176,Bumble Bee Boutique638
177,Charm Farm175
178,Alike Desire137
179,BestBuy848
180,Butter Buds977
181,By the Handful994
182,Bluebill Open mall995
183,Business Bustle478
184,African Paradise420
185,Best Mart279
186,Baskets Of Berries260
187,Boomers Apparel308
188,Big Mall106
189,Berries Galore217
190,Bursting With Fruit526
191,Actioner Sports Store591
192,Adaline’s Wardrobe317
193,Bestir Service633
194,Body Canvas559
195,Bloomingdale’s564
196,Cheat on Wheels314
197,By the Handful884
198,Banana Wear306
199,Blessed Bounty438
